ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,TITLE,Summer Job Status,Summer Employer,Summer Title,Summer Arrange,Summer USA,Summer State,Summer Country,Summer Pay,S-Resources_1,S-Resources_2,S-Resources_3,S-Resources_4,S-Resources_7,S-Resources_8,S-Resources_5,S-Resources_6,S-Resources_6_TEXT,S-Skills_1,S-Skills_3,S-Skills_4,S-Skills_5,S-Skills_6,S-Skills_12,S-Skills_7,S-Skills_8,S-Skills_11,S-Skills_9,Current Job Status,Current Employer,Current Title,Current Arrangement,Current Country USA,Current Country,Current State,Current Pay,Current Source_1,Current Source_2,Current Source_3,Current Source_4,Current Source_7,Current Source_8,Current Source_5,Current Source_6,Current Source_6_TEXT,FC-Skills_1,FC-Skills_3,FC-Skills_4,FC-Skills_5,FC-Skills_6,FC-Skills_12,FC-Skills_7,FC-Skills_8,FC-Skills_11,FC-Skills_9,ROY Plan_6,ROY Plan_7,ROY Plan_4,ROY Plan_8,ROY Plan_9,ROY Plan_10,ROY Plan_5,ROY Plan_5_TEXT,FULL_TIME_STATUS,FULL_TIME_COMPANY,FULL_TIME_TITLE,FULL_TIME_ARRANGE,FULL_TIME_STATE,FULL_TIME_SALARY,FULL_TIME_HELP,Grad Acceptance,Accepted Schools,Grad Want Help?,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,"Message from Career Services: To enhance student services, satisfaction, and outcomes, we aim to...","This past summer did you have an Internship or Job that is related to your major? (Select ""Yes"" i...","Over the summer, what was the name of your employer?","Over the summer, what was your job title?","Over the summer, what was your work arrangement?","Over the summer, was your internship located in the United States?","50 States, D.C. and Puerto Rico",List of Countries,"What was your hourly pay rate? If your role was unpaid, please enter 0. Ex: If you earned $13/hr,...",What resources did you use to find your summer internship or job? Select all that apply.-LinkedIn,What resources did you use to find your summer internship or job? Select all that apply.-Handshake,What resources did you use to find your summer internship or job? Select all that apply.-Career Services,What resources did you use to find your summer internship or job? Select all that apply.-Department Resources,What resources did you use to find your summer internship or job? Select all that apply.-Campus Clubs or Groups,What resources did you use to find your summer internship or job? Select all that apply.-Career Fair or Information Session,"What resources did you use to find your summer internship or job? Select all that apply.-Personal Network (Family, Friends, etc.)",What resources did you use to find your summer internship or job? Select all that apply.-Other,What resources did you use to find your summer internship or job? Select all that apply.-Other,"Please select all the skills you used/developed during your summer internship. If you can talk ab...-Data Collection: Web-scraping, Date Entry, Surveys, etc.","Please select all the skills you used/developed during your summer internship. If you can talk ab...-Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Please select all the skills you used/developed during your summer internship. If you can talk ab...-Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Please select all the skills you used/developed during your summer internship. If you can talk ab...-Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Please select all the skills you used/developed during your summer internship. If you can talk ab...-Model Deployment: Docker, Flask, AWS, etc.",Please select all the skills you used/developed during your summer internship. If you can talk ab...-Formal Presentation of work/results,Please select all the skills you used/developed during your summer internship. If you can talk ab...-Python,Please select all the skills you used/developed during your summer internship. If you can talk ab...-R,Please select all the skills you used/developed during your summer internship. If you can talk ab...-SQL,Please select all the skills you used/developed during your summer internship. If you can talk ab...-API,"Do you currently have an Internship/Part-time job that is related to your major? (Select ""Yes"" if...",What is the name of your employer?,What is your job title?,How would you describe your work arrangement?,Is your employer located in the United States?,List of Countries,"50 States, D.C. and Puerto Rico","What is your current hourly pay rate? If your role is unpaid, please enter 0. Ex: If you earn $13...",What resources did you use to find your current internship or job? Select all that apply.-LinkedIn,What resources did you use to find your current internship or job? Select all that apply.-Handshake,What resources did you use to find your current internship or job? Select all that apply.-Career Services,What resources did you use to find your current internship or job? Select all that apply.-Department Resources,What resources did you use to find your current internship or job? Select all that apply.-Campus Clubs or Groups,What resources did you use to find your current internship or job? Select all that apply.-Career Fair or Information Session,"What resources did you use to find your current internship or job? Select all that apply.-Personal Network (Family, Friends, etc.)",What resources did you use to find your current internship or job? Select all that apply.-Other,What resources did you use to find your current internship or job? Select all that apply.-Other,"Please select all the skills you are using/developing for your current internship. If you can tal...-Data Collection: Web-scraping, Date Entry, Surveys, etc.","Please select all the skills you are using/developing for your current internship. If you can tal...-Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Please select all the skills you are using/developing for your current internship. If you can tal...-Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Please select all the skills you are using/developing for your current internship. If you can tal...-Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Please select all the skills you are using/developing for your current internship. If you can tal...-Model Deployment: Docker, Flask, AWS, etc.",Please select all the skills you are using/developing for your current internship. If you can tal...-Presenting,Please select all the skills you are using/developing for your current internship. If you can tal...-Python,Please select all the skills you are using/developing for your current internship. If you can tal...-R,Please select all the skills you are using/developing for your current internship. If you can tal...-SQL,Please select all the skills you are using/developing for your current internship. If you can tal...-API,"Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Secure a Full-time job offer for AFTER graduation","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Secure a Major-related Internship/Part-time job for the upcoming SUMMER","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Prepare for Graduate School","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Become a TA/RA","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Other (Please Specify)","Outside of your school work, what do you hope to accomplish between now and the rest of the schoo...-Other (Please Specify)",Do you have a Full-time position lined up after graduation?,What company will you work for after graduation?,What will your job title be?,How would you describe your future work arrangement?,"50 States, D.C. and Puerto Rico","What will your starting annual (base) salary be?  Ex: If your starting salary is $65,000/year the...","Would you like help in your search for full-time employment? (Salary Negotiations, Networking Res...",Have you been accepted to a Grad School Program?,Please enter a comma separated list of Schools and Programs to which you have been accepted with...,Do you want additional help with your Graduate School Application process?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID94'},{'ImportId': 'QID189'},{'ImportId': 'QID190-TEXT'},{'ImportId': 'QID191-TEXT'},{'ImportId': 'QID192'},{'ImportId': 'QID194'},{'ImportId': 'QID193'},{'ImportId': 'QID195'},{'ImportId': 'QID196-TEXT'},{'ImportId': 'QID197-1'},{'ImportId': 'QID197-2'},{'ImportId': 'QID197-3'},{'ImportId': 'QID197-4'},{'ImportId': 'QID197-7'},{'ImportId': 'QID197-8'},{'ImportId': 'QID197-5'},{'ImportId': 'QID197-6'},{'ImportId': 'QID197-6-TEXT'},{'ImportId': 'QID199-1'},{'ImportId': 'QID199-3'},{'ImportId': 'QID199-4'},{'ImportId': 'QID199-5'},{'ImportId': 'QID199-6'},{'ImportId': 'QID199-12'},{'ImportId': 'QID199-7'},{'ImportId': 'QID199-8'},{'ImportId': 'QID199-11'},{'ImportId': 'QID199-9'},{'ImportId': 'QID181'},{'ImportId': 'QID163-TEXT'},{'ImportId': 'QID164-TEXT'},{'ImportId': 'QID165'},{'ImportId': 'QID182'},{'ImportId': 'QID183'},{'ImportId': 'QID166'},{'ImportId': 'QID168-TEXT'},{'ImportId': 'QID198-1'},{'ImportId': 'QID198-2'},{'ImportId': 'QID198-3'},{'ImportId': 'QID198-4'},{'ImportId': 'QID198-7'},{'ImportId': 'QID198-8'},{'ImportId': 'QID198-5'},{'ImportId': 'QID198-6'},{'ImportId': 'QID198-6-TEXT'},{'ImportId': 'QID200-1'},{'ImportId': 'QID200-3'},{'ImportId': 'QID200-4'},{'ImportId': 'QID200-5'},{'ImportId': 'QID200-6'},{'ImportId': 'QID200-12'},{'ImportId': 'QID200-7'},{'ImportId': 'QID200-8'},{'ImportId': 'QID200-11'},{'ImportId': 'QID200-9'},{'ImportId': 'QID152-6'},{'ImportId': 'QID152-7'},{'ImportId': 'QID152-4'},{'ImportId': 'QID152-8'},{'ImportId': 'QID152-9'},{'ImportId': 'QID152-10'},{'ImportId': 'QID152-5'},{'ImportId': 'QID152-5-TEXT'},{'ImportId': 'QID154'},{'ImportId': 'QID155-TEXT'},{'ImportId': 'QID156-TEXT'},{'ImportId': 'QID157'},{'ImportId': 'QID158'},{'ImportId': 'QID159-TEXT'},{'ImportId': 'QID160'},{'ImportId': 'QID186'},{'ImportId': 'QID187-TEXT'},{'ImportId': 'QID188'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_3I69OHMK9kgbThr,null,136.36.168.186,2023-09-26 08:43:27,2023-09-26 08:45:22,,,,,1,0,1,Yes,Engine,Data science intern,In-Office,Yes,Arkansas,,20,,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Model Deployment: Docker, Flask, AWS, etc.",,Python,,SQL,,Yes,Engine,Data science intern,Remote,Yes,,Utah,20,,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Model Deployment: Docker, Flask, AWS, etc.",,Python,,SQL,,,Secure a Full-time job offer for AFTER graduation,,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_ZEGYuNrJ5G0XwOZ,null,128.187.116.20,2023-09-26 08:46:45,2023-09-26 08:50:14,,,,,1,0,1,Yes,BYU OIT,Enterprise Architect,In-Office,Yes,Utah,,20,,,Career Services,,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,"Model Deployment: Docker, Flask, AWS, etc.",Formal Presentation of work/results,Python,R,SQL,API,Yes,BYU OIT,Enterprise Architect,Hybrid,Yes,,Utah,22,,,Career Services,,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.",,"Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.","Model Deployment: Docker, Flask, AWS, etc.",Presenting,Python,R,SQL,API,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_2ZHY9LGi1ZZRJl4,null,128.187.116.23,2023-09-26 08:43:40,2023-09-26 09:09:48,,,,,1,0,1,Yes,The State of Alaska - Department of Revenue,Intern IV,In-Office,Yes,Alaska,,21,,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Formal Presentation of work/results,,R,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepare for Graduate School,,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_3h6nKthVwwGvivg,null,128.187.116.5,2023-09-26 09:19:59,2023-09-26 09:22:17,,,,,1,0,1,Yes,BYU,Research Assistant,Hybrid,Yes,Utah,,20,,,,Department Resources,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Formal Presentation of work/results,,R,,,Yes,BYU,Research Assistant,Hybrid,Yes,,Utah,20,,,,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Presenting,,R,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_ReP9r7A2lA8lmvf,null,128.187.116.21,2023-09-26 10:02:37,2023-09-26 10:03:49,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,Become a TA/RA,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_06cgspPYi5Sh5YJ,null,128.187.116.7,2023-09-26 10:34:00,2023-09-26 10:34:45,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_23fzLhuqwXXVQ4J,null,128.187.116.6,2023-09-26 10:54:28,2023-09-26 10:57:04,,,,,1,0,1,Yes,Deloitte,Data Summer Scholar,In-Office,Yes,Virginia,,38,,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Formal Presentation of work/results,Python,,SQL,,Yes,BYU,Stat 251 TA,Hybrid,Yes,,Utah,14,,,,Department Resources,,,,,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,,R,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_1IFuXQwKQoqLRtx,null,192.34.255.222,2023-09-26 11:03:12,2023-09-26 11:13:26,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,,,,,,,,,,,40.2584,-111.6591,-1
